prospect_id,company,contact,role,location,partner_type,reason_for_fit,personalization_hook,recommended_proof_asset,first_message,cta,channel,status
B2B-20260821-001,Articulated Design Studio,,Interior design studio,Vancouver,interior_designer,"Residential design portfolio references fireplace/interior renovation context in Vancouver","Reference their residential interiors and position Stile di Leo as a specialist for fireplace and focal-wall finishes","Projects Hub + West Vancouver Fireplace Transformation","Hi [Name], I am Vladyslav from Stile di Leo. I create hand-applied plaster finishes for fireplace transformations, feature walls, Venetian plaster, and Marmorino surfaces around Metro Vancouver. I noticed your residential interior work and thought the West Vancouver fireplace project may be relevant for future focal-wall or fireplace scopes. If a project needs a calmer plaster surround or custom wall finish, I would be happy to send a few completed examples.","Happy to send completed fireplace examples or review photos for a future surface.",email,READY_FOR_HUMAN_APPROVAL
B2B-20260821-002,Hasler Homes,,Custom home builder,North Vancouver,custom_home_builder,"Luxury custom homes and large-scale renovations in Vancouver/North Shore; likely fit for specialty plaster finishes","Reference North Shore custom-home work and visible fireplace/feature-wall moments","Projects Hub + Brookswood Fireplace Transformation","Hi [Name], I am Vladyslav from Stile di Leo. I specialize in decorative plaster finishes for residential interiors, especially fireplace walls, feature walls, Marmorino, and Venetian plaster. Your North Shore custom-home work looks aligned with the kind of visible surfaces I support. If a future project needs a specialty plaster finish, I can review photos, substrate details, and finish direction before pricing is discussed.","Review a fireplace or focal-wall surface before finish direction is finalized.",email,READY_FOR_HUMAN_APPROVAL
B2B-20260821-003,Mainland Fireplaces & Grills,,Fireplace company,Langley,fireplace_contractor,"Langley fireplace company serving Greater Vancouver with premium/custom fireplace offering; complementary finish partner fit","Reference their fireplace focus and position Stile di Leo as a finish partner after suitable fireplace work","Brookswood Fireplace Transformation + Fireplace Wall Vancouver","Hi [Name], I am Vladyslav from Stile di Leo. I work on decorative plaster finishes for fireplace transformations and surrounds around Metro Vancouver. If your customers ever need a refined finish around a fireplace after installation or renovation work, I would be happy to send examples and discuss what types of projects are usually worth reviewing.","Define suitable referral projects and share completed fireplace examples.",email,READY_FOR_HUMAN_APPROVAL
B2B-20260821-004,Best Builders,,Custom home builder,Delta / Metro Vancouver,custom_home_builder,"Award-winning home building/renovation portfolio references custom home interiors with fireplaces","Reference custom residential interiors and specialty finish trade support","Projects Hub + West Vancouver Fireplace Transformation","Hi [Name], I am Vladyslav from Stile di Leo. I create hand-applied decorative plaster finishes for fireplace walls, feature walls, Marmorino, and Venetian plaster. Your custom residential work looks like a strong fit for specialty finish details where paint or tile is not the right visual direction. I would be happy to send a few completed fireplace examples if useful.","Send a small project proof set for future fireplace or feature-wall scopes.",email,READY_FOR_HUMAN_APPROVAL
B2B-20260821-005,DELANA Interiors,,Renovation contractor / interiors,West Vancouver,renovation_contractor,"Metro Vancouver renovation portfolio; serves Vancouver/Burnaby/North Vancouver/West Vancouver/Shaughnessy","Reference West Vancouver renovation fit and fireplace/feature-wall upgrade moments","West Vancouver Fireplace Transformation + Marmorino Vancouver","Hi [Name], I am Vladyslav from Stile di Leo. I create decorative plaster finishes for fireplace transformations, feature walls, and refined interior surfaces in Metro Vancouver homes. Your renovation work in areas like West Vancouver and North Vancouver looks aligned with projects where a fireplace or focal wall needs something more custom than paint. I can send relevant examples or review a surface photo if one comes up.","Send examples or review a future fireplace/wall photo.",email,READY_FOR_HUMAN_APPROVAL
B2B-20260821-006,Simply Home Decorating,,Interior designer,Vancouver,interior_designer,"Residential interior design portfolio positioned around relaxed/luxurious interiors","Reference relaxed residential interiors and material softness","Marmorino Vancouver + West Vancouver Fireplace Transformation","Hi [Name], I am Vladyslav from Stile di Leo. I create hand-applied plaster finishes for fireplaces, feature walls, Venetian plaster, and Marmorino surfaces around Metro Vancouver. Your residential interiors have a calm, finished quality that feels aligned with softer plaster surfaces. If a future project needs a fireplace surround or focal wall with more texture than paint, I would be happy to send examples.","Happy to send a few relevant fireplace and Marmorino examples.",email,READY_FOR_HUMAN_APPROVAL
B2B-20260821-007,House of Bohn,,Interior design studio,Vancouver,interior_designer,"Luxury residential interior design portfolio includes fireplace/interior contexts","Keep especially concise and reference high-end residential portfolio fit","Projects Hub + West Vancouver Fireplace Transformation","Hi [Name], I am Vladyslav from Stile di Leo. I create custom hand-applied plaster finishes for fireplace transformations, feature walls, Venetian plaster, and Marmorino surfaces in Metro Vancouver. I noticed your residential portfolio and thought our completed fireplace work may be relevant where a project needs a calmer architectural surface instead of tile or paint. Happy to send a small set of examples if useful.","Send a concise proof set; no pressure.",email,READY_FOR_HUMAN_APPROVAL
B2B-20260821-008,Markley Construction,,Renovation contractor,Metro Vancouver,renovation_contractor,"Published fireplace and millwork renovation project suggests feature-wall/fireplace finish overlap","Reference their fireplace/millwork renovation context","Fireplace Wall Vancouver + Brookswood Fireplace Transformation","Hi [Name], I am Vladyslav from Stile di Leo. I specialize in decorative plaster finishes for fireplace transformations, feature walls, and custom interior surfaces. I noticed your fireplace and millwork renovation work, which feels like a natural fit for specialty finish moments around fireplace walls or focal surfaces. If a future client wants a plaster finish instead of paint or tile, I can review photos and advise what may be realistic.","Review future fireplace/feature-wall photos before finish selection.",email,READY_FOR_HUMAN_APPROVAL
B2B-20260821-009,Barrett Group Custom Builders,,Custom renovation builder,Vancouver,custom_home_builder,"Custom renovation portfolio references Shaughnessy living space with fireplace/stone wall","Reference premium renovation details and visible fireplace walls","Projects Hub + Fireplace Wall Vancouver","Hi [Name], I am Vladyslav from Stile di Leo. I create specialty decorative plaster finishes for residential interiors, especially fireplace walls, Marmorino surfaces, Venetian plaster, and feature walls. Your custom renovation work looks aligned with projects where a visible wall or fireplace needs a more refined finish than standard paint. I would be happy to send completed examples for future reference.","Send project examples for premium fireplace or focal-wall scopes.",email,READY_FOR_HUMAN_APPROVAL
B2B-20260821-010,Bricked Masonry,,Masonry / fireplace contractor,Port Moody / Coquitlam / Burnaby,fireplace_contractor,"Masonry/fireplace services across Metro Vancouver; complementary partner for plaster finish after masonry/fireplace work","Avoid competition framing; position as finish option after suitable masonry/fireplace work","Brookswood Fireplace Transformation + Fireplace Wall Vancouver","Hi [Name], I am Vladyslav from Stile di Leo. I work on decorative plaster finishes for fireplace transformations and surrounds around Metro Vancouver. Since your work touches masonry and fireplaces, there may be occasional projects where a client wants the final fireplace surface to feel more seamless or architectural. I would be happy to send a few examples and discuss what types of projects are suitable.","Share completed fireplace examples and define suitable referral fit.",email,READY_FOR_HUMAN_APPROVAL
