prospect_id,company,contact_name,segment,city,website,instagram,email,reason_for_fit,first_contact_date,channel,follow_up_1,follow_up_2,response,status,opportunity,notes
EXAMPLE-001,Example Interior Design Studio,,interior_designer,Vancouver,https://example.com,@exampledesign,,Residential interiors with fireplace and feature-wall work,2026-08-17,email,2026-08-24,2026-09-03,none,new,possible_future_project,Example row only — not a real prospect
EXAMPLE-002,Example Fireplace Contractor,,fireplace_contractor,Langley,https://example.com,@examplefireplace,,Fireplace installs where plaster surround finishes may fit,2026-08-17,instagram,2026-08-24,2026-09-03,none,new,partnership_fit,Example row only — not a real prospect
B2B-20260821-001,Articulated Design Studio,,interior_designer,Vancouver,https://www.articulated.studio/vancouver-interior-design-beyond-borders,,,"Residential design portfolio references fireplace/interior renovation context in Vancouver",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,designer_relationship,"Week 1 candidate; personalize around residential interiors and fireplace/feature-wall finish support before sending"
B2B-20260821-002,Hasler Homes,,custom_home_builder,North Vancouver,https://haslerhomes.ca/,,,"Luxury custom homes and large-scale renovations in Vancouver/North Shore; likely fit for specialty plaster finishes",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,builder_relationship,"Week 1 candidate; position as specialist finish trade for fireplace and feature-wall scopes"
B2B-20260821-003,Mainland Fireplaces & Grills,,fireplace_contractor,Langley,https://www.mainlandfireplaces.com/,,info@mainlandfireplaces.com,"Langley fireplace company serving Greater Vancouver with premium/custom fireplace offering; complementary finish partner fit",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,referral_partner,"Week 1 candidate; public contact email found on website; do not send without approval"
B2B-20260821-004,Best Builders,,custom_home_builder,Delta / Metro Vancouver,https://bestbuilders.ca/sample-page-old/,,,"Award-winning home building/renovation portfolio references custom home interiors with fireplaces",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,builder_relationship,"Week 1 candidate; verify best current contact page before sending"
B2B-20260821-005,DELANA Interiors,,renovation_contractor,West Vancouver,https://delanainteriors.ca/portfolio/,,,"Metro Vancouver renovation portfolio; serves Vancouver/Burnaby/North Vancouver/West Vancouver/Shaughnessy",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,renovation_partner,"Week 1 candidate; personalize around residential renovation finish upgrade opportunities"
B2B-20260821-006,Simply Home Decorating,,interior_designer,Vancouver,https://simplyhomedecorating.com/portfolio/,,,"Residential interior design portfolio positioned around relaxed/luxurious interiors",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,designer_relationship,"Week 1 candidate; offer relevant plaster/fireplace examples or finish samples"
B2B-20260821-007,House of Bohn,,interior_designer,Vancouver,https://www.houseofbohn.com/portfolio/residential/,,,"Luxury residential interior design portfolio includes fireplace/interior contexts",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,designer_relationship,"Week 1 candidate; high-profile designer target; personalize carefully and keep low-pressure"
B2B-20260821-008,Markley Construction,,renovation_contractor,Metro Vancouver,https://www.markleyconstruction.ca/projects/fireplace-millwork-renovation,,,"Published fireplace and millwork renovation project suggests feature-wall/fireplace finish overlap",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,renovation_partner,"Week 1 candidate; personalize around fireplace/millwork renovation proof"
B2B-20260821-009,Barrett Group Custom Builders,,custom_home_builder,Vancouver,https://barrettgroup.ca/portfolio/shaughnessy-vancouver-major-renovation/,,,"Custom renovation portfolio references Shaughnessy living space with fireplace/stone wall",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,builder_relationship,"Week 1 candidate; position specialty decorative plaster for premium renovation details"
B2B-20260821-010,Bricked Masonry,,fireplace_contractor,Port Moody / Coquitlam / Burnaby,https://www.bricked-masonry.ca/fireplaces,,,"Masonry/fireplace services across Metro Vancouver; complementary partner for plaster finish after masonry/fireplace work",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,referral_partner,"Week 1 candidate; verify service overlap and avoid implying direct competition"
B2B-20260821-011,Goldcon Construction,,custom_home_builder,North Vancouver,https://www.houzz.com/professionals/home-builders/british-columbia-ca-probr0-bo~t_11823~r_5909050,,,"Houzz listing describes North Vancouver award-winning custom home builder/renovation company",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,builder_relationship,"Week 1 candidate; find direct website/contact before sending"
B2B-20260821-012,AAG Services Construction,,renovation_contractor,Vancouver,https://aagservicesconstruction.ca/renovation-services/fireplace-renovation/,,,"Fireplace renovation service page in Vancouver; possible complementary or adjacent renovation partner",2026-08-21,email,2026-08-28,2026-09-08,none,ready_for_human_review,possible_partner,"Week 1 candidate; qualify carefully for fit before outreach"
